53,Baucom Elementary,400,Hunter St,Apex,NC,35.736004,-78.8538705,Elementary Schools
54,Brentwood Elementary,3426,Ingram Dr,Raleigh,NC,35.83096520000001,-78.59626999999999,Magnet Elementary School
55,East Cary Middle,1111,SE Maynard Rd,Cary,NC,35.77893340000001,-78.7642158,Middle School
56,Enloe High,128,Clarendon Crescent,Raleigh,NC,35.7832883,-78.6044232,Magnet High School
57,Knightdale Elementary,109,Ridge St,Knightdale,NC,35.7851852,-78.47906069999999,Elementary Schools
58,Millbrook High,2201,Spring Forest Rd,Raleigh,NC,35.8594985,-78.59657299999999,Magnet High School
59,North Ridge Elementary,7120,Harps Mill Rd,Raleigh,NC,35.8874347,-78.6134349,Elementary Schools
60,Sanderson High,5500,Dixon Dr,Raleigh,NC,35.85707050000001,-78.6502634,High School
61,Morrisville Elementary,1519,Morrisville Pkwy,Morrisville,NC,35.812797,-78.8454922,Elementary Schools
62,West Cary Middle,1000,Evans Rd,Cary,NC,35.8176131,-78.80201439999999,Middle School
63,West Millbrook Middle,8115,Strickland Rd,Raleigh,NC,35.901608,-78.67784619999999,Middle School
64,Martin Middle,1701,Ridge Rd,Raleigh,NC,35.81803310000001,-78.6794139,Magnet Middle School
65,Olds Elementary,204,Dixie Trl,Raleigh,NC,35.8014944,-78.6761289,Elementary Schools
66,Wake Forest High,420,W Stadium Dr,Wake Forest,NC,35.9831011,-78.5198468,High School
67,Wiley Elementary,301,St Mary's St,Raleigh,NC,35.8017982,-78.6536265,Magnet Elementary School
68,Wildwood Forest Elementary,8401,Wild Wood Forest Dr,Raleigh,NC,35.8915452,-78.55286129999999,Elementary Schools
69,Yates Mill Elementary,5993,Yates Mill Pond Rd,Raleigh,NC,35.7286082,-78.7192122,Elementary Schools
70,Partnership Elementary,601,Devereux St,Raleigh,NC,35.7900229,-78.64739449999999,Magnet Elementary School
71,Centennial Campus Middle,1900,Main Campus Dr,Raleigh,NC,35.7607806,-78.6806215,Magnet Middle School
72,Green Hope Elementary,2700,Louis Stephens Dr,Cary,NC,35.8179815,-78.86510280000002,Elementary Schools
73,Heritage Middle,3400,Rogers Rd,Wake Forest,NC,35.9432122,-78.4948797,Middle School
74,Moore Square Middle,301,S Person St,Raleigh,NC,35.7720295,-78.6352746,Magnet Middle School
75,Baileywick Road Elementary,9425,Baileywick Rd,Raleigh,NC,35.9113694,-78.6745852,Elementary Schools
76,Middle Creek High,123,Middle Creek Park Ave,Apex,NC,35.669471,-78.7608075,High School
77,Lufkin Road Middle,1002,Lufkin Rd,Apex,NC,35.7201194,-78.832286,Middle School
78,Turner Creek Elementary,6801,Turner Creek Rd,Cary,NC,35.7744975,-78.8787857,Elementary Schools
79,Salem Elementary,6116,Old Jenks Rd,Apex,NC,35.7571474,-78.86203189999999,Elementary Schools
80,Salem Middle,6150,Old Jenks Rd,Apex,NC,35.7571474,-78.86203189999999,Middle School
81,Highcroft Drive Elementary,5415,Highcroft Dr,Cary,NC,35.8037816,-78.8860854,Elementary Schools
82,Davis Drive Middle,2101,Davis Dr,Cary,NC,35.8284182,-78.85220749999999,Middle School
83,Davis Drive Elementary,2151,Davis Dr,Cary,NC,35.8284182,-78.85220749999999,Elementary Schools
84,Heritage Elementary,3500,Rogers Rd,Wake Forest,NC,35.9432122,-78.4948797,Elementary Schools
85,Cedar Fork Elementary,1050,Town Hall Dr,Morrisville,NC,35.8307467,-78.8387893,Elementary Schools
86,Panther Creek High,6770,McCrimmon Pkwy,Cary,NC,35.828872,-78.8932562,High School
87,Cary Elementary,400,Kildaire Farm Rd,Cary,NC,35.7229302,-78.7846149,Elementary Schools
88,Holly Springs High,5329,Cass Holt Rd,Holly Springs,NC,35.6110292,-78.8708647,High School
89,Brier Creek Elementary,9801,Brier Creek Pkwy,Raleigh,NC,35.909664,-78.7848626,Elementary Schools
90,Durant Road Middle,10401,Durant Rd,Raleigh,NC,35.9093417,-78.6036183,Middle School
91,Weatherstone Elementary,1000,Olde Weatherstone Way,Cary,NC,35.79339179999999,-78.81338629999999,Elementary Schools
92,North Garner Middle,720,Powell Dr,Garner,NC,35.71443319999999,-78.61140549999999,Middle School
93,Hilburn Drive Academy,7100,Hilburn Dr,Raleigh,NC,35.8744071,-78.71634159999999,Academies
94,Conn Elementary,1220,Brookside Dr,Raleigh,NC,35.7940239,-78.6247008,Magnet Elementary School
95,Underwood Elementary,1614,Glenwood Ave,Raleigh,NC,35.8639366,-78.7139632,Magnet Elementary School
96,Mount Vernon Middle-Bridges Program,5418,Chapel Hill Rd,Raleigh,NC,35.7943632,-78.76671259999999,Special / Optional Schools
97,Jones Dairy Elementary,1100,Jones Dairy Rd,Wake Forest,NC,35.9557019,-78.478916,Elementary Schools
98,Wakefield Elementary,2400,Wakefield Pines Dr,Raleigh,NC,35.9454608,-78.564887,Elementary Schools
99,Wakefield Middle,2300,Wakefield Pines Dr,Raleigh,NC,35.9454608,-78.564887,Middle School
100,Wakefield High,2200,Wakefield Pines Dr,Raleigh,NC,35.9454608,-78.564887,High School
101,Green Elementary,5307,Six Forks Rd,Raleigh,NC,35.8960315,-78.6498179,Magnet Elementary School
102,Knightdale High,100,Bryan Chalk Ln,Knightdale,NC,35.8085251,-78.4747955,High School
103,Forestville Road Elementary,100,Lawson Ridge Rd,Knightdale,NC,35.8094471,-78.48070179999999,Elementary Schools
104,Carpenter Elementary,2100,Morrisville Pkwy,Cary,NC,35.8117516,-78.8799263,Elementary Schools
105,Reedy Creek Elementary,940,Reedy Creek Rd,Cary,NC,35.8051954,-78.76830199999999,Elementary Schools
