OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
11,Compiegne,Mini,M-11,1,Developed,0.45737432,106 Chamberlain St,27607,NA,No,9,,19923.14209,605.1595177
12,Mordecai,Mini,M-12,1,Developed,0.46599886,1122 North Blount St,27604,NA,No,10,1926-07-20T00:00:00.000Z,20298.84631,582.5295849
13,Biltmore Hills,Community,C-1,2,Developed,46.66836977,2615 Fitzgerald Dr,27610,NA,Yes,11,1964-06-01T00:00:00.000Z,2032866.122,7064.82094
14,Worthdale,Community,C-10,4,Developed,36.14247298,1001 Cooper Rd,27610,NA,Yes,12,1963-01-01T00:00:00.000Z,1574359.741,7150.460777
15,Lake Lynn,Community,C-11,3,Developed,51.98873817,7921 Ray Rd,27613,NA,No,13,1987-07-31T00:00:00.000Z,2264620.377,11212.4713
16,Horseshoe Farm,Nature Preserve,NP-3,5,Developed,146.2646207,2900 Horseshoe Farm Rd,27587,NA,No,14,1994-10-20T00:00:00.000Z,6371261.5,13242.14849
17,Alvis Farm,Community,C-18,6,Undeveloped,97.8737931,3603 Tarheel Clubhouse Rd,27604,NA,No,15,2000-02-10T00:00:00.000Z,4263382.427,14271.66706
18,Oakwood Common,Mini,M-15,1,Developed,0.1272925,535 N East St,27604,NA,No,22,1991-04-11T00:00:00.000Z,5544.854736,315.889816
19,Varnell,Mini,M-17,2,Developed,0.44218467,2104 Varnell Ave,27612,2108 Varnell Ave,No,23,,19261.48401,620.5207695
20,Chavis,Community,C-3,8,Developed,28.87200862,505 Martin Luther King Jr Blvd,27601,NA,Yes,16,1970-01-01T00:00:00.000Z,1257659.612,9310.331095
21,Brookhaven,Neighborhood,N-3,1,Developed,25.91690036,5125 Berkeley St,27612,NA,Yes,17,1973-09-06T00:00:00.000Z,1128935.773,4887.610696
22,Durant Nature,Nature Preserve,NP-2,2,Developed,241.5802912,8305 Camp Durant Rd,27615,NA,Yes,18,1979-01-01T00:00:00.000Z,10523188.95,18082.44772
23,Anderson Point,Community,C-12,3,Developed,89.56894825,20 Anderson Point Dr,27610,NA,No,19,1988-07-28T00:00:00.000Z,3901607.753,11235.28112
24,Quarry Street,Mini,M-13,4,Developed,0.35851299,731 Quarry St,27601,NA,No,20,1971-04-30T00:00:00.000Z,15616.72937,507.1791184
25,Spring,Mini,M-14,1,Developed,0.36644713,1422 Collegeview Ave,27606,NA,No,21,,15962.37952,495.9230786
26,Junious N. Sorrell,Mini,M-18,4,Developed,0.30305507,416 E Lee St,27601,NA,No,24,1982-01-08T00:00:00.000Z,13201.01709,465.8368171
27,Caraleigh,Mini,M-2,1,Developed,0.55133322,110 Maywood Ave,27603,NA,No,25,1970-08-12T00:00:00.000Z,24015.95935,652.6023697
28,Davie Street,Mini,M-4,3,Developed,0.8617306,908 East Davie St,27601,NA,No,26,1949-05-18T00:00:00.000Z,37536.87866,833.7359684
29,Fisher Street,Mini,M-5,2,Developed,0.27358239,324 N Fisher St,27610,328 N Fisher St,No,27,1969-05-26T00:00:00.000Z,11917.224,458.5320866
30,Lane Street,Mini,M-9,3,Developed,0.57247828,920 E Lane St,27601,213 Idlewild Ave,No,28,1969-08-21T00:00:00.000Z,24937.07349,780.5647184
31,Shelley Lake - Sertoma,Metro,METRO-4,3,Developed,144.8051102,1400 W Millbrook Rd,27612,NA,Yes,29,1972-01-01T00:00:00.000Z,6307685.48,20850.20476
32,Strickland,Neighborhood,N-32,1,Developed,36.09797209,12804 Strickland Rd,27613,NA,No,30,1998-01-06T00:00:00.000Z,1572467.203,5199.102921
33,Isabella Cannon,Neighborhood,N-34,1,Developed,3.52812991,2601 Kilgore Ave,27607,NA,No,31,1937-11-21T00:00:00.000Z,153600.897,2179.179824
34,Pullen,Metro,METRO-1,1,Developed,66.38363681,410 Park Ave,27606,NA,No,32,1887-05-04T00:00:00.000Z,2891641.537,11809.49164
35,Sanderford Road,Neighborhood,N-17,3,Developed,23.47653253,2623 Sanderford Rd,27610,NA,Yes,33,1970-04-03T00:00:00.000Z,1022662.489,5328.80791
36,FEMA HMGP Phase 1 - 2,Open Space,OS-41,2,Undeveloped,1.06573348,3824 Quail Hollow Dr,27609,3828 Quail Hollow Dr,No,98,1999-01-07T00:00:00.000Z,46423.15271,844.5870398
37,Claremont,Open Space,OS-42,1,Undeveloped,11.51666752,2825 Anderson Dr,27609,NA,No,99,1949-09-01T00:00:00.000Z,501664.0498,4181.134866
38,Carver,Open Space,OS-43,1,Developed,0.08750353,1600 Pender St,27610,NA,No,100,1964-01-01T00:00:00.000Z,3811.631958,270.8009942
39,Pasquotank & Granville,Open Space,OS-68,1,Undeveloped,0.46733347,3280 Granville Dr,27609,NA,No,101,,20356.96423,671.865584
40,Parnell,Open Space,OS-8,1,Undeveloped,5.59104146,430 Parnell Dr,27610,NA,No,102,1995-02-28T00:00:00.000Z,243544.775,2303.698218
41,Cowper Drive Median,Open Space,OS-9,1,Undeveloped,3.85563315,820 Holt Dr,27608,NA,No,103,1981-12-31T00:00:00.000Z,167950.6588,4663.956119
42,Progress Energy Center,Special,SP-12,2,Developed,0,2 E South St,27601,NA,No,105,1984-12-12T00:00:00.000Z,423318.8298,4841.837114
43,Martin L King Jr Memorial,Special,SP-11,2,Developed,2.37578864,900 Rock Quarry Rd,27601,NA,No,106,1991-01-07T00:00:00.000Z,103488.9203,1812.503069
44,Edna Metz Wells,Special,SP-14,1,Developed,2.94406366,1600 Park Dr,27610,NA,No,107,,128242.8708,1683.524433
45,City Cemetery,Special,SP-8,1,Developed,7.42772836,17 S East St,27601,NA,No,108,,323550.6331,2676.222778
46,FEMA HMGP Phase 1 - 6,Open Space,OS-52,1,Undeveloped,0.46437475,517 Oakland Dr,27609,NA,No,109,1999-12-03T00:00:00.000Z,20228.09021,593.3687731
47,Nash Square,Special,SP-5,1,Developed,4.07724529,200 South McDowell St,27601,NA,No,110,,177604.0316,1685.346663
48,Lockwood,Special,SP-42,1,Developed,3.83007878,1000 Crabtree Blvd,27610,NA,No,111,1978-12-27T00:00:00.000Z,166837.5878,1791.684475
49,Longstreet,Special,SP-43,1,Developed,0.2742479,7334 Stuart Dr,27615,NA,No,112,1974-07-16T00:00:00.000Z,11946.1936,444.4482507
50,Dacian,Special,SP-44,1,Developed,0.7292792,566 Dacian Rd,27610,NA,No,113,1975-07-03T00:00:00.000Z,31767.24756,750.2324473
51,Dixon,Special,SP-45,1,Developed,1.65655498,6100 Dixon Dr,27609,NA,No,114,1972-07-21T00:00:00.000Z,72159.22009,1287.507704
52,Rose Garden & Raleigh Little Theatre,Special,SP-6,1,Developed,6.80525802,301 Pogue St,27607,NA,No,115,,296435.9598,2429.681216
53,Vallie Henderson,Special,SP-7,1,Developed,0.09611181,314 Linden Ave,27601,NA,No,116,1979-11-13T00:00:00.000Z,4186.624268,281.6249547
54,Erinsbrook Drive Property,Neighborhood,N-38,1,Undeveloped,13.3241339,11921 Leesville Rd,27613,NA,No,117,2003-06-30T00:00:00.000Z,580367.2804,3894.161658
