OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
93,Beckana,Open Space,OS-44,3,Undeveloped,1.00885463,3707 Dale St,27612,3711 and 3715 Dade St,No,66,1977-01-01T00:00:00.000Z,43945.47327,918.5764596
94,Dogwood,Open Space,OS-45,1,Undeveloped,0.18678201,3112 Dogwood Dr,27604,NA,No,67,1977-10-01T00:00:00.000Z,8136.173828,389.7866651
95,Yadkin Circle,Open Space,OS-47,0,Undeveloped,0.28234414,Right of Way,27609,NA,No,68,,12298.86511,393.3390828
96,FEMA HMGP Phase 1 - 8,Open Space,OS-54,1,Undeveloped,0.29605792,5500 Mapleridge Rd,27609,NA,No,69,1999-11-08T00:00:00.000Z,12896.25244,467.3432579
97,FEMA HMGP Phase 1 - 9,Open Space,OS-55,1,Undeveloped,0.33056234,2921 Anderson Dr,27608,NA,No,70,1999-10-08T00:00:00.000Z,14399.2439,481.5361022
98,FEMA HMGP Phase 1 - 10,Open Space,OS-56,1,Undeveloped,0.69203651,107 W Drewry Ln,27609,NA,No,71,1999-11-12T00:00:00.000Z,30144.98669,720.3641378
99,Chatham & Stevens,Open Space,OS-58,0,Undeveloped,0.15862142,Right of Way,27610,NA,No,72,,6909.526978,337.319041
100,Six Oaks,Open Space,OS-6,1,Undeveloped,0.66272112,103 Furches St,27607,NA,No,73,1925-08-01T00:00:00.000Z,28868.07129,848.8622372
101,Kimbrough,Open Space,OS-20,1,Undeveloped,1.33039332,730 Kimbrough St,27608,NA,No,74,1938-12-01T00:00:00.000Z,57951.68896,1820.203614
102,Quail Hollow,Open Space,OS-21,1,Undeveloped,0.38024521,4213 Quail Hollow Dr,27609,NA,No,75,2000-12-27T00:00:00.000Z,16563.41797,518.7819686
